Country,ISO3,Region,CPI score 2019,Rank
Denmark,DNK,WE/EU,87,1
New Zealand,NZL,AP,87,1
Finland,FIN,WE/EU,86,3
Singapore,SGP,AP,85,4
Sweden,SWE,WE/EU,85,4
Switzerland,CHE,WE/EU,85,4
Norway,NOR,WE/EU,84,7
Netherlands,NLD,WE/EU,82,8
Germany,DEU,WE/EU,80,9
Luxembourg,LUX,WE/EU,80,9
Iceland,ISL,WE/EU,78,11
Australia,AUS,AP,77,12
Austria,AUT,WE/EU,77,12
Canada,CAN,AME,77,12
United Kingdom,GBR,WE/EU,77,12
Hong Kong,HKG,AP,76,16
Belgium,BEL,WE/EU,75,17
Estonia,EST,WE/EU,74,18
Ireland,IRL,WE/EU,74,18
Japan,JPN,AP,73,20
United Arab Emirates,ARE,MENA,71,21
Uruguay,URY,AME,71,21
France,FRA,WE/EU,69,23
United States of America,USA,AME,69,23
Bhutan,BTN,AP,68,25
Chile,CHL,AME,67,26
Seychelles,SYC,SSA,66,27
Taiwan,TWN,AP,65,28
Bahamas,BHS,AME,64,29
Barbados,BRB,AME,62,30
Portugal,PRT,WE/EU,62,30
Qatar,QAT,MENA,62,30
Spain,ESP,WE/EU,62,30
Botswana,BWA,SSA,61,34
Brunei Darussalam,BRN,AP,60,35
Israel,ISR,MENA,60,35
Lithuania,LTU,WE/EU,60,35
Slovenia,SVN,WE/EU,60,35
"Korea, South",KOR,AP,59,39
Saint Vincent and the Grenadines,VCT,AME,59,39
Cabo Verde,CPV,SSA,58,41
Cyprus,CYP,WE/EU,58,41
Poland,POL,WE/EU,58,41
Costa Rica,CRI,AME,56,44
Czech Republic,CZE,WE/EU,56,44
Georgia,GEO,ECA,56,44
Latvia,LVA,WE/EU,56,44
Dominica,DMA,AME,55,48
Saint Lucia,LCA,AME,55,48
Malta,MLT,WE/EU,54,50
Grenada,GRD,AME,53,51
Italy,ITA,WE/EU,53,51
Malaysia,MYS,AP,53,51
Rwanda,RWA,SSA,53,51
Saudi Arabia,SAU,MENA,53,51
Mauritius,MUS,SSA,52,56
Namibia,NAM,SSA,52,56
Oman,OMN,MENA,52,56
Slovakia,SVK,WE/EU,50,59
Cuba,CUB,AME,48,60
Greece,GRC,WE/EU,48,60
