,Country,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Code,measure_dict,national_induction_num,national_phaseout_num,local_induction_num,local_phaseout_num
0,Philippines,2020-02-15,7.0,4.0,-1.0,1.0,6.0,0.0,PHL,,,,,
1,Philippines,2020-02-16,3.0,5.0,-2.0,-3.0,1.0,1.0,PHL,,,,,
2,Philippines,2020-02-17,-1.0,0.0,-3.0,-2.0,8.0,1.0,PHL,,,,,
3,Philippines,2020-02-18,0.0,1.0,-3.0,0.0,5.0,0.0,PHL,,,,,
4,Philippines,2020-02-19,-3.0,-3.0,-4.0,-6.0,5.0,1.0,PHL,,,,,
5,Philippines,2020-02-20,-2.0,-2.0,-5.0,-5.0,6.0,0.0,PHL,,,,,
6,Philippines,2020-02-21,-2.0,-2.0,-8.0,-6.0,8.0,1.0,PHL,,,,,
7,Philippines,2020-02-22,1.0,0.0,-1.0,-1.0,7.0,0.0,PHL,,,,,
8,Philippines,2020-02-23,-3.0,0.0,0.0,-7.0,2.0,1.0,PHL,,,,,
9,Philippines,2020-02-24,1.0,-1.0,6.0,-4.0,4.0,1.0,PHL,,,,,
10,Philippines,2020-02-25,0.0,-2.0,11.0,-18.0,-43.0,11.0,PHL,,,,,
11,Philippines,2020-02-26,-3.0,-1.0,0.0,-3.0,6.0,0.0,PHL,,,,,
12,Philippines,2020-02-27,-2.0,-1.0,-4.0,-6.0,6.0,0.0,PHL,,,,,
13,Philippines,2020-02-28,-1.0,1.0,-6.0,-6.0,8.0,0.0,PHL,,,,,
14,Philippines,2020-02-29,5.0,6.0,-1.0,0.0,9.0,0.0,PHL,,,,,
15,Philippines,2020-03-01,2.0,7.0,0.0,-5.0,5.0,1.0,PHL,,,,,
16,Philippines,2020-03-02,0.0,2.0,-2.0,-5.0,9.0,0.0,PHL,,,,,
17,Philippines,2020-03-03,1.0,2.0,-2.0,-4.0,7.0,0.0,PHL,,,,,
18,Philippines,2020-03-04,-1.0,2.0,-1.0,-7.0,6.0,1.0,PHL,,,,,
19,Philippines,2020-03-05,0.0,2.0,-3.0,-6.0,7.0,0.0,PHL,,,,,
20,Philippines,2020-03-06,-3.0,-1.0,-9.0,-8.0,8.0,1.0,PHL,,,,,
21,Philippines,2020-03-07,0.0,2.0,-1.0,-4.0,7.0,1.0,PHL,,,,,
22,Philippines,2020-03-08,-4.0,2.0,-2.0,-9.0,3.0,1.0,PHL,,,,,
23,Philippines,2020-03-09,-3.0,1.0,-1.0,-7.0,7.0,1.0,PHL,,,,,
24,Philippines,2020-03-10,-4.0,3.0,-5.0,-11.0,-4.0,3.0,PHL,{'local_induction': ['Limit public gatherings']},0.0,0.0,1.0,0.0
25,Philippines,2020-03-11,-8.0,5.0,-6.0,-17.0,-5.0,4.0,PHL,{'national_induction': ['Limit public gatherings']},1.0,0.0,0.0,0.0
26,Philippines,2020-03-12,-8.0,8.0,-8.0,-17.0,-6.0,5.0,PHL,{'local_induction': ['Border checks']},0.0,0.0,1.0,0.0
27,Philippines,2020-03-13,-12.0,9.0,-16.0,-17.0,-9.0,7.0,PHL,,,,,
28,Philippines,2020-03-14,-18.0,5.0,-20.0,-15.0,-6.0,6.0,PHL,{'national_induction': ['Curfews']},1.0,0.0,0.0,0.0
29,Philippines,2020-03-15,-40.0,-10.0,-29.0,-42.0,-10.0,11.0,PHL,"{'local_induction': ['Domestic travel restrictions', 'Isolation and quarantine policies']}",0.0,0.0,2.0,0.0
30,Philippines,2020-03-16,-34.0,-4.0,-18.0,-42.0,-31.0,15.0,PHL,,,,,
