,Country,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Code,measure_dict,national_induction_num,national_phaseout_num,local_induction_num,local_phaseout_num
1337,Angola,2021-01-12,-6.0,0.0,28.0,-3.0,-9.0,4.0,AGO,,,,,
524,Afghanistan,2020-09-19,35.0,21.0,15.0,-11.0,1.0,1.0,AFG,,,,,
333,United Arab Emirates,2021-01-13,-18.0,-1.0,-31.0,-34.0,-20.0,7.0,ARE,,,,,
1915,Austria,2020-09-08,2.0,-5.0,112.0,-13.0,-28.0,1.0,AUT,,,,,
1487,Argentina,2020-06-24,-62.0,-21.0,-83.0,-53.0,-27.0,17.0,ARG,,,,,
717,Antigua and Barbuda,2020-04-13,-85.0,-69.0,-62.0,-90.0,-86.0,,ATG,,,,,
1270,Angola,2020-11-06,-14.0,2.0,16.0,-14.0,-17.0,8.0,AGO,"{'national_induction': ['Additional health/documents requirements upon arrival', 'Border closure']}",2.0,0.0,0.0,0.0
1745,Austria,2020-03-22,-90.0,-69.0,-60.0,-76.0,-54.0,15.0,AUT,{'local_induction': ['Domestic travel restrictions']},0.0,0.0,1.0,0.0
1885,Austria,2020-08-09,-2.0,22.0,131.0,-1.0,-3.0,-6.0,AUT,,,,,
910,Antigua and Barbuda,2020-10-29,-5.0,-3.0,39.0,-40.0,-35.0,9.0,ATG,,,,,
565,Afghanistan,2020-10-30,33.0,48.0,-9.0,-6.0,-13.0,3.0,AFG,,,,,
1373,Argentina,2020-03-02,1.0,4.0,-8.0,7.0,16.0,-1.0,ARG,,,,,
122,United Arab Emirates,2020-06-16,-36.0,-12.0,-53.0,-50.0,-27.0,19.0,ARE,{'national_phaseout': ['Domestic travel restrictions']},0.0,1.0,0.0,0.0
1567,Argentina,2020-09-12,-51.0,-11.0,-70.0,-41.0,-15.0,14.0,ARG,,,,,
1535,Argentina,2020-08-11,-50.0,-12.0,-74.0,-48.0,-25.0,15.0,ARG,,,,,
2000,Austria,2020-12-02,-64.0,-14.0,-29.0,-49.0,-37.0,15.0,AUT,,,,,
194,United Arab Emirates,2020-08-27,-22.0,-5.0,-42.0,-41.0,-20.0,11.0,ARE,,,,,
172,United Arab Emirates,2020-08-05,-22.0,-4.0,-42.0,-41.0,-22.0,12.0,ARE,,,,,
1941,Austria,2020-10-04,-15.0,-12.0,61.0,-12.0,-8.0,-1.0,AUT,,,,,
808,Antigua and Barbuda,2020-07-13,-27.0,-20.0,-6.0,-49.0,-32.0,17.0,ATG,,,,,
479,Afghanistan,2020-08-05,-9.0,13.0,6.0,-11.0,-19.0,2.0,AFG,,,,,
1908,Austria,2020-09-01,-4.0,-6.0,40.0,-24.0,-32.0,4.0,AUT,,,,,
