Country,Code,corruption_perception_index
Denmark,DNK,87
New Zealand,NZL,87
Finland,FIN,86
Singapore,SGP,85
Sweden,SWE,85
Switzerland,CHE,85
Norway,NOR,84
Netherlands,NLD,82
Germany,DEU,80
Luxembourg,LUX,80
Iceland,ISL,78
Australia,AUS,77
Austria,AUT,77
Canada,CAN,77
United Kingdom,GBR,77
Hong Kong,HKG,76
Belgium,BEL,75
Estonia,EST,74
Ireland,IRL,74
Japan,JPN,73
United Arab Emirates,ARE,71
Uruguay,URY,71
France,FRA,69
United States of America,USA,69
Bhutan,BTN,68
Chile,CHL,67
Seychelles,SYC,66
Taiwan,TWN,65
Bahamas,BHS,64
Barbados,BRB,62
Portugal,PRT,62
Qatar,QAT,62
Spain,ESP,62
Botswana,BWA,61
Brunei Darussalam,BRN,60
Israel,ISR,60
Lithuania,LTU,60
Slovenia,SVN,60
"Korea, South",KOR,59
Saint Vincent and the Grenadines,VCT,59
Cabo Verde,CPV,58
Cyprus,CYP,58
Poland,POL,58
Costa Rica,CRI,56
Czech Republic,CZE,56
Georgia,GEO,56
Latvia,LVA,56
Dominica,DMA,55
Saint Lucia,LCA,55
Malta,MLT,54
Grenada,GRD,53
Italy,ITA,53
Malaysia,MYS,53
Rwanda,RWA,53
Saudi Arabia,SAU,53
Mauritius,MUS,52
Namibia,NAM,52
Oman,OMN,52
Slovakia,SVK,50
Cuba,CUB,48
Greece,GRC,48
Jordan,JOR,48
Croatia,HRV,47
Sao Tome and Principe,STP,46
Vanuatu,VUT,46
Argentina,ARG,45
Belarus,BLR,45
Montenegro,MNE,45
Senegal,SEN,45
Hungary,HUN,44
Romania,ROU,44
South Africa,ZAF,44
Suriname,SUR,44
Bulgaria,BGR,43
Jamaica,JAM,43
Tunisia,TUN,43
Armenia,ARM,42
Bahrain,BHR,42
Solomon Islands,SLB,42
Benin,BEN,41
China,CHN,41
Ghana,GHA,41
India,IND,41
Morocco,MAR,41
Burkina Faso,BFA,40
Guyana,GUY,40
Indonesia,IDN,40
Kuwait,KWT,40
Lesotho,LSO,40
Trinidad and Tobago,TTO,40
Serbia,SRB,39
Turkey,TUR,39
Ecuador,ECU,38
Sri Lanka,LKA,38
Timor-Leste,TLS,38
Colombia,COL,37
Ethiopia,ETH,37
Gambia,GMB,37
Tanzania,TZA,37
Vietnam,VNM,37
Bosnia and Herzegovina,BIH,36
Kosovo,XKX,36
Panama,PAN,36
Peru,PER,36
Thailand,THA,36
Albania,ALB,35
Algeria,DZA,35
Brazil,BRA,35
Cote d'Ivoire,CIV,35
Egypt,EGY,35
North Macedonia,MKD,35
Mongolia,MNG,35
El Salvador,SLV,34
Kazakhstan,KAZ,34
Nepal,NPL,34
Philippines,PHL,34
Eswatini,SWZ,34
Zambia,ZMB,34
Sierra Leone,SLE,33
Moldova,MDA,32
Niger,NER,32
Pakistan,PAK,32
Bolivia,BOL,31
Gabon,GAB,31
Malawi,MWI,31
Azerbaijan,AZE,30
Djibouti,DJI,30
Kyrgyzstan,KGZ,30
Ukraine,UKR,30
Guinea,GIN,29
Laos,LAO,29
Maldives,MDV,29
Mali,MLI,29
Mexico,MEX,29
Myanmar,MMR,29
Togo,TGO,29
Dominican Republic,DOM,28
Kenya,KEN,28
Lebanon,LBN,28
Liberia,LBR,28
Mauritania,MRT,28
Papua New Guinea,PNG,28
Paraguay,PRY,28
Russia,RUS,28
Uganda,UGA,28
Angola,AGO,26
Bangladesh,BGD,26
Guatemala,GTM,26
Honduras,HND,26
Iran,IRN,26
Mozambique,MOZ,26
Nigeria,NGA,26
Cameroon,CMR,25
Central African Republic,CAF,25
Comoros,COM,25
Tajikistan,TJK,25
Uzbekistan,UZB,25
Madagascar,MDG,24
Zimbabwe,ZWE,24
Eritrea,ERI,23
Nicaragua,NIC,22
Cambodia,KHM,20
Chad,TCD,20
Iraq,IRQ,20
Burundi,BDI,19
Congo,COG,19
Turkmenistan,TKM,19
Democratic Republic of the Congo,COD,18
Guinea Bissau,GNB,18
Haiti,HTI,18
Libya,LBY,18
"Korea, North",PRK,17
Afghanistan,AFG,16
Equatorial Guinea,GNQ,16
Sudan,SDN,16
Venezuela,VEN,16
Yemen,YEM,15
Syria,SYR,13
South Sudan,SSD,12
Somalia,SOM,9
