Country,Code,gdp_per_capita
Afghanistan,AFG,2927.245
Albania,ALB,15290.777
Algeria,DZA,15199.199
Andorra,AND,63215.9
Angola,AGO,8274.543
Antigua and Barbuda,ATG,29636.893
Argentina,ARG,26629.553
Armenia,ARM,16215.36
Aruba,ABW,38435.426
Australia,AUS,56981.395
Austria,AUT,65312.023
Azerbaijan,AZE,20122.713
Bahamas,BHS,32495.334
Bahrain,BHR,56749.96
Bangladesh,BGD,6838.326
Barbados,BRB,18572.51
Belarus,BLR,26798.82
Belgium,BEL,61711.113
Belize,BLZ,11803.088
Benin,BEN,3281.1047
Bermuda,BMU,94755.43
Bhutan,BTN,14555.188
Bolivia,BOL,9985.23
Bosnia and Herzegovina,BIH,17269.283
Botswana,BWA,18106.018
Brazil,BRA,18018.621
Brunei,BRN,80228.16
Bulgaria,BGR,27917.12
Burkina Faso,BFA,2391.5364
Burundi,BDI,855.7327
Cambodia,KHM,6448.885
Cameroon,CMR,4882.3555
Canada,CAN,56713.09
Cape Verde,CPV,9111.63
Cayman Islands,CYM,77440.555
Central African Republic,CAF,1145.0956
Chad,TCD,1868.0195
Chile,CHL,28228.5
China,CHN,18465.299
Colombia,COL,17652.896
Comoros,COM,3516.1267
Congo,COG,6939.369
Costa Rica,CRI,23646.408
Cote d'Ivoire,CIV,5894.879
Croatia,HRV,35107.934
Curacao,CUW,28659.8
Cyprus,CYP,47283.457
Czechia,CZE,49961.797
Democratic Republic of Congo,COD,1296.9476
Denmark,DNK,67179.125
Djibouti,DJI,5784.448
Dominica,DMA,17318.963
Dominican Republic,DOM,21363.861
East Asia and Pacific (WB),,20083.326
East Timor,TLS,5103.283
Ecuador,ECU,13853.421
Egypt,EGY,15026.568
El Salvador,SLV,10543.938
Equatorial Guinea,GNQ,18446.592
Estonia,EST,43435.2
Eswatini,SWZ,10027.652
Ethiopia,ETH,2437.9702
Europe and Central Asia (WB),,42198.13
European Union (27),,52228.02
Faeroe Islands,,67207.836
Fiji,FJI,13567.474
Finland,FIN,57451.63
France,FRA,54856.867
Gabon,GAB,19491.406
Gambia,GMB,2750.8213
Georgia,GEO,18186.88
Germany,DEU,63392.95
Ghana,GHA,6508.2466
Greece,GRC,33549.066
Greenland,GRL,67604.05
Grenada,GRD,17047.355
Guatemala,GTM,11470.364
Guinea,GIN,3557.4624
Guinea-Bissau,GNB,2379.6042
Guyana,GUY,13402.422
Haiti,HTI,3381.5847
High-income countries,,54823.668
Honduras,HND,6264.019
Hong Kong,HKG,65388.33
Hungary,HUN,37557.926
Iceland,ISL,65431.324
India,IND,7930.0913
Indonesia,IDN,12757.785
Iran,IRN,14040.665
Iraq,IRQ,14910.225
Ireland,IRL,96701.664
Israel,ISR,44419.97
Italy,ITA,50328.594
Jamaica,JAM,10216.065
Japan,JPN,44976.508
Jordan,JOR,9288.527
Kazakhstan,KAZ,33298.21
Kenya,KEN,5171.7124
Kiribati,KIR,2927.4836
Kosovo,OWID_KOS,11774.118
Kuwait,KWT,51122.332
Kyrgyzstan,KGZ,6087.602
Laos,LAO,8075.275
Latin America and Caribbean (WB),,18926.271
Latvia,LVA,33959.92
Lebanon,LBN,15659.566
Lesotho,LSO,2773.2864
Liberia,LBR,1575.7666
Libya,LBY,14333.423
Lithuania,LTU,43868.605
Low-income countries,,2384.8042
Lower-middle-income countries,,7613.167
Luxembourg,LUX,134105.64
Macao,MAC,133549.19
Madagascar,MDG,1713.7961
Malawi,MWI,1687.2894
Malaysia,MYS,31300.508
Maldives,MDV,21855.502
Mali,MLI,2451.122
Malta,MLT,54667.383
Marshall Islands,MHL,6405.0757
Mauritania,MRT,6162.2104
Mauritius,MUS,25739.355
Mexico,MEX,21964.354
