Country,Code,land_boundaries,coastline,num_border_countries,border_countries
Afghanistan,AFG,5987,0,6,"China 91 km; Iran 921 km; Pakistan 2,670 km; Tajikistan 1,357 km; Turkmenistan 804 km; Uzbekistan 144 km "
Akrotiri and Dhekelia,,156,83.8,1,Cyprus 156 km
Albania,ALB,691,362,4,Greece 212 km; Kosovo 112 km; North Macedonia 181 km; Montenegro 186 km 
Algeria,DZA,6734,998,6,"Libya 989 km; Mali 1,359 km; Mauritania 460 km; Morocco 1,941 km; Niger 951 km; Tunisia 1,034 km "
American Samoa,ASM,0,116,0,
Andorra,AND,118,0,2,France 55 km; Spain 63 km 
Angola,AGO,5369,1600,4,"Democratic Republic of the Congo 2,646 km (of which 225 km is the boundary of discontiguous Cabinda Province); Republic of the Congo 231 km; Namibia 1,427 km; Zambia 1,065 km "
Anguilla,AIA,0,61,0,
Antarctica,ATA,0,17968,0,
Antigua and Barbuda,ATG,0,153,0,
Argentina,ARG,11968,4989,5,"Bolivia 942 km; Brazil 1,263 km; Chile 6,691 km; Paraguay 2,531 km; Uruguay 541 km "
Armenia,ARM,1570,0,4,Azerbaijan 996 km; Georgia 219 km; Iran 44 km; Turkey 311 km
Aruba,ABW,0,68.5,0,
Ashmore and Cartier Islands,,0,74.1,0,
Australia,AUS,0,25760,0,
Austria,AUT,2524,0,8,Czech Republic 402 km; Germany 801 km; Hungary 321 km; Italy 404 km; Liechtenstein 34 km; Slovakia 105 km; Slovenia 299 km; Switzerland 158 km 
Azerbaijan,AZE,2468,0,5,Armenia 996 km; Georgia 428 km; Iran 689 km; Russia 338 km; Turkey 17 km 
Bahamas,BHS,0,3542,0,
Bahrain,BHR,0,161,0,
Bangladesh,BGD,4413,580,2,"Burma 271 km; India 4,142 km "
Barbados,BRB,0,97,0,
Belarus,BLR,3599,0,5,"Latvia 161 km; Lithuania 640 km; Poland 375 km; Russia 1,312 km; Ukraine 1,111 km"
Belgium,BEL,1297,66.5,4,France 556 km; Germany 133 km; Luxembourg 130 km; Netherlands 478 km
Belize,BLZ,542,386,2,Guatemala 266 km; Mexico 276 km 
Benin,BEN,2123,121,4,Burkina Faso 386 km; Niger 277 km; Nigeria 809 km; Togo 651 km 
Bermuda,BMU,0,103,0,
Bhutan,BTN,1136,0,2,China 477 km; India 659 km
Bolivia,BOL,7252,0,5,"Argentina 942 km; Brazil 3,403 km; Chile 942 km; Paraguay 753 km; Peru 1,212 km"
