Country,Code,gini_index
Albania,ALB,0.30115768
Angola,AGO,0.51263994
Armenia,ARM,0.30031213
Australia,AUS,0.34332561
Austria,AUT,0.3021043
Bangladesh,BGD,0.33373156
Belarus,BLR,0.25277847
Belgium,BEL,0.27219546
Benin,BEN,0.37948644
Bhutan,BTN,0.3744141
Bolivia,BOL,0.416443
Botswana,BWA,0.5332503
Brazil,BRA,0.5350931
Bulgaria,BGR,0.40271127
Burkina Faso,BFA,0.43016732
Burundi,BDI,0.37456092
Cameroon,CMR,0.42176074
Canada,CAN,0.31749648
Cape Verde,CPV,0.42381087
Central African Republic,CAF,0.43027893
Chad,TCD,0.37499154
Chile,CHL,0.4700476
China,CHN,0.38168344
Colombia,COL,0.5132595
Comoros,COM,0.45332918
Costa Rica,CRI,0.4818988
Cote d'Ivoire,CIV,0.37168875
Croatia,HRV,0.28908294
Cyprus,CYP,0.3122325
Czechia,CZE,0.25262198
Democratic Republic of Congo,COD,0.44674513
Denmark,DNK,0.27723306
Djibouti,DJI,0.41585726
Dominican Republic,DOM,0.41917086
East Timor,TLS,0.28652927
Ecuador,ECU,0.45709932
Egypt,EGY,0.31893092
El Salvador,SLV,0.38778764
Estonia,EST,0.30765438
Eswatini,SWZ,0.54579794
Ethiopia,ETH,0.34993124
Fiji,FJI,0.30706868
Finland,FIN,0.27737123
France,FRA,0.31199563
Gabon,GAB,0.38024372
Gambia,GMB,0.38757205
Georgia,GEO,0.35900706
Germany,DEU,0.31780925
Ghana,GHA,0.43512443
Greece,GRC,0.33101925
Grenada,GRD,0.4381641
Guatemala,GTM,0.4827621
Guinea,GIN,0.29591954
Guinea-Bissau,GNB,0.34765232
Honduras,HND,0.48162824
Hungary,HUN,0.29950473
Iceland,ISL,0.2613158
India,IND,0.33812764
Indonesia,IDN,0.35359862
Iran,IRN,0.36482257
Ireland,IRL,0.308315
Israel,ISR,0.3828222
Italy,ITA,0.34583586
Jamaica,JAM,0.3563868
Kazakhstan,KAZ,0.27968282
Kenya,KEN,0.36246458
Kiribati,KIR,0.27832702
Kosovo,XKX,0.29012942
Kyrgyzstan,KGZ,0.2970068
Laos,LAO,0.38802433
Latvia,LVA,0.34489113
Lesotho,LSO,0.44877714
Liberia,LBR,0.35265347
Lithuania,LTU,0.35251358
Luxembourg,LUX,0.34241158
Malawi,MWI,0.38542363
Malaysia,MYS,0.41176775
Maldives,MDV,0.2928509
Mali,MLI,0.3596336
Malta,MLT,0.31041777
Marshall Islands,MHL,0.35482943
Mauritania,MRT,0.31996742
Mauritius,MUS,0.36761206
Mexico,MEX,0.44594344
Moldova,MDA,0.26016647
Mongolia,MNG,0.3274099
Montenegro,MNE,0.35665408
Mozambique,MOZ,0.50274074
Myanmar,MMR,0.3069687
Namibia,NAM,0.5906661
Nepal,NPL,0.30020264
Netherlands,NLD,0.29248324
Nicaragua,NIC,0.46156293
Niger,NER,0.37259424
Nigeria,NGA,0.35127744
North Macedonia,MKD,0.33505824
Norway,NOR,0.2774182
Pakistan,PAK,0.29589266
Palestine,PSE,0.3369004
Panama,PAN,0.49837545
Paraguay,PRY,0.45650637
Peru,PER,0.4152813
Philippines,PHL,0.37811705
Poland,POL,0.28760177
Portugal,PRT,0.32762748
Qatar,QAT,0.35128385
Romania,ROU,0.34800515
Russia,RUS,0.37736863
Rwanda,RWA,0.43709454
Saint Lucia,LCA,0.5122298
Sao Tome and Principe,STP,0.4072948
Senegal,SEN,0.38314784
Serbia,SRB,0.34475464
Seychelles,SYC,0.3212532
Sierra Leone,SLE,0.35690176
Slovakia,SVK,0.23232324
Slovenia,SVN,0.24384232
South Africa,ZAF,0.630258
South Korea,KOR,0.33196163
South Sudan,SSD,0.44057786
Spain,ESP,0.34303716
Sri Lanka,LKA,0.37663776
Sudan,SDN,0.3424273
Suriname,SUR,0.39179897
Sweden,SWE,0.2930465
Switzerland,CHE,0.3399834
Syria,SYR,0.26628006
Taiwan,TWN,0.3119192
Tajikistan,TJK,0.3399559
Tanzania,TZA,0.4049123
Thailand,THA,0.34855723
Togo,TGO,0.42534238
Tonga,TON,0.27095765
Tunisia,TUN,0.33716425
Turkey,TUR,0.4383382
Uganda,UGA,0.42702642
Ukraine,UKR,0.26619467
United Arab Emirates,ARE,0.26399004
United Kingdom,GBR,0.32824126
United States,USA,0.41533518
Uruguay,URY,0.3967629
Uzbekistan,UZB,0.31184828
Vanuatu,VUT,0.32317576
Vietnam,VNM,0.36790165
Yemen,YEM,0.36707094
Zambia,ZMB,0.51483124
Zimbabwe,ZWE,0.5025645
