Country,Code,land_area_sqkm
Afghanistan,AFG,652230
Albania,ALB,27400
Algeria,DZA,2381741
Andorra,AND,470
Angola,AGO,1246700
Antigua and Barbuda,ATG,440
Argentina,ARG,2736690
Armenia,ARM,28470
Australia,AUS,7692020
Austria,AUT,82520
Azerbaijan,AZE,82650
Bahamas,BHS,10010
Bahrain,BHR,790
Bangladesh,BGD,130170
Barbados,BRB,430
Belarus,BLR,202990
Belgium,BEL,30494
Belize,BLZ,22810
Benin,BEN,112760
Bhutan,BTN,38140
Bolivia,BOL,1083300
Bosnia and Herzegovina,BIH,51200
Botswana,BWA,566730
Brazil,BRA,8358140
Brunei,BRN,5270
Bulgaria,BGR,108560
Burkina Faso,BFA,273600
Burundi,BDI,25680
Cambodia,KHM,176520
Cameroon,CMR,472710
Canada,CAN,8788700
Cape Verde,CPV,4030
Central African Republic,CAF,622980
Chad,TCD,1259200
Chile,CHL,743532
China,CHN,9388210
Colombia,COL,1109500
Comoros,COM,1861
Congo,COG,341500
Costa Rica,CRI,51060
Cote d'Ivoire,CIV,318000
Croatia,HRV,55960
Cuba,CUB,103800
Cyprus,CYP,9240
Czechia,CZE,77171.73
Democratic Republic of Congo,COD,2267050
Denmark,DNK,40000
Djibouti,DJI,23180
Dominica,DMA,750
Dominican Republic,DOM,48198.02
East Timor,TLS,14870
Ecuador,ECU,248360
Egypt,EGY,995450
El Salvador,SLV,20720
Equatorial Guinea,GNQ,28050
Eritrea,ERI,121040.83
Estonia,EST,42730
Eswatini,SWZ,17200
Ethiopia,ETH,1128571.4
Fiji,FJI,18270
Finland,FIN,303947.7
France,FRA,547557
Gabon,GAB,257670
Gambia,GMB,10120
Georgia,GEO,69490
Germany,DEU,349360
Ghana,GHA,227533
Greece,GRC,128900
Greenland,GRL,410450
Grenada,GRD,340
Guatemala,GTM,107160
Guinea,GIN,245720
Guinea-Bissau,GNB,28120
Guyana,GUY,196850
Haiti,HTI,27560
Honduras,HND,111890
Hungary,HUN,91260
Iceland,ISL,100830
India,IND,2973190
Indonesia,IDN,1892555.5
Iran,IRN,1622500
Iraq,IRQ,434128
Ireland,IRL,68890
Italy,ITA,295720
Jamaica,JAM,10830
Japan,JPN,364500
Jordan,JOR,88794
Kazakhstan,KAZ,2699700
Kenya,KEN,569140
Kiribati,KIR,810
Kuwait,KWT,17820
Kyrgyzstan,KGZ,191800
Laos,LAO,230800
Latvia,LVA,62230
Lebanon,LBN,10230
Lesotho,LSO,30360
Liberia,LBR,96320
Libya,LBY,1759540
Liechtenstein,LIE,160
Lithuania,LTU,62604
Luxembourg,LUX,2574.46
Madagascar,MDG,581800
Malawi,MWI,94280
Malaysia,MYS,328550
Maldives,MDV,300
Mali,MLI,1220190
Malta,MLT,320
Marshall Islands,MHL,180
Mauritania,MRT,1030700
Mauritius,MUS,1997
Mexico,MEX,1943950
Micronesia (country),FSM,700
Moldova,MDA,32890
Monaco,MCO,2.084
Mongolia,MNG,1557506.8
Montenegro,MNE,13450
Morocco,MAR,446300
Mozambique,MOZ,786380
Myanmar,MMR,652670
Namibia,NAM,823290
Nauru,NRU,20
Nepal,NPL,143350
Netherlands,NLD,33670
New Caledonia,NCL,18280
New Zealand,NZL,263310
Nicaragua,NIC,120340
Niger,NER,1266700
Nigeria,NGA,910770
North Korea,PRK,120410
North Macedonia,MKD,25220
Norway,NOR,364270
Oman,OMN,309500
Pakistan,PAK,770880
Palau,PLW,460
Panama,PAN,74180
Papua New Guinea,PNG,452860
Paraguay,PRY,396012.03
Peru,PER,1280000
Philippines,PHL,298170
Poland,POL,306090
Portugal,PRT,91605.6
Puerto Rico,PRI,8870
Qatar,QAT,11490
Romania,ROU,230080
Russia,RUS,16376870
Rwanda,RWA,24670
Saint Kitts and Nevis,KNA,260
Saint Lucia,LCA,610
Saint Vincent and the Grenadines,VCT,390
Samoa,WSM,2780
San Marino,SMR,60
Sao Tome and Principe,STP,960
Saudi Arabia,SAU,2149690
Senegal,SEN,192530
Serbia,SRB,84090
Seychelles,SYC,460
Sierra Leone,SLE,72180
Singapore,SGP,718
Slovakia,SVK,48080
Slovenia,SVN,20136.4
Solomon Islands,SLB,27990
Somalia,SOM,627340
South Africa,ZAF,1213090
South Korea,KOR,97600
South Sudan,SSD,631930
Spain,ESP,499713.7
Sri Lanka,LKA,61860
Sudan,SDN,1868000
Suriname,SUR,160507.61
Sweden,SWE,407280
Switzerland,CHE,39509.63
Syria,SYR,185179.7
Tajikistan,TJK,138790
Tanzania,TZA,885800
Thailand,THA,510890
Togo,TGO,54390
Tonga,TON,720
Trinidad and Tobago,TTO,5130
Tunisia,TUN,155360
Turkey,TUR,769630
Turkmenistan,TKM,469930
Tuvalu,TUV,30
Uganda,UGA,200520
Ukraine,UKR,579400
United Arab Emirates,ARE,71020
United Kingdom,GBR,241930
United States,USA,9147420
Uruguay,URY,175020
Uzbekistan,UZB,440652
Vanuatu,VUT,12190
Venezuela,VEN,882050
Vietnam,VNM,313429
Yemen,YEM,527970
Zambia,ZMB,743390
Zimbabwe,ZWE,386850
