Country,Code,population_density
Afghanistan,AFG,58.04107
Albania,ALB,105.29241
Algeria,DZA,18.17769
Andorra,AND,162.74681
Angola,AGO,25.969065
Antigua and Barbuda,ATG,207.675
Argentina,ARG,16.433529
Armenia,ARM,102.00123
Australia,AUS,3.312877
Austria,AUT,107.62088
Azerbaijan,AZE,122.328926
Bahamas,BHS,39.42897
Bahrain,BHR,1880.6013
Bangladesh,BGD,1266.9053
Barbados,BRB,653.9907
Belarus,BLR,46.49132
Belgium,BEL,379.47894
Belize,BLZ,16.915081
Benin,BEN,112.86592
Bhutan,BTN,20.053198
Bolivia,BOL,10.773918
Bosnia and Herzegovina,BIH,65.34246
Botswana,BWA,4.1149774
Brazil,BRA,24.820768
Brunei,BRN,84.00133
Bulgaria,BGR,64.254486
Burkina Faso,BFA,76.615326
Burundi,BDI,477.23282
Cambodia,KHM,93.36791
Cameroon,CMR,53.957176
Canada,CAN,4.299035
Cape Verde,CPV,127.57221
Central African Republic,CAF,7.9371843
Chad,TCD,13.250653
Chile,CHL,25.819664
China,CHN,151.62851
Colombia,COL,44.982414
Comoros,COM,422.66684
Congo,COG,16.447016
Costa Rica,CRI,97.915215
Cote d'Ivoire,CIV,88.65728
Croatia,HRV,71.23549
Cuba,CUB,107.92724
Cyprus,CYP,139.2499
Czechia,CZE,136.74446
Democratic Republic of Congo,COD,40.9993
Denmark,DNK,145.36548
Djibouti,DJI,46.96756
Dominica,DMA,90.53467
Dominican Republic,DOM,229.19868
East Timor,TLS,87.48776
Ecuador,ECU,69.81808
Egypt,EGY,108.04476
El Salvador,SLV,300.30484
Equatorial Guinea,GNQ,59.543102
Eritrea,ERI,26.769438
Estonia,EST,31.036749
Eswatini,SWZ,68.59796
Ethiopia,ETH,102.55213
Fiji,FJI,50.076847
Finland,FIN,18.166794
France,FRA,120.04131
French Guiana,GUF,3.448569
Gabon,GAB,8.800831
Gambia,GMB,242.77144
Georgia,GEO,54.63694
Germany,DEU,239.15735
Ghana,GHA,137.38202
Greece,GRC,83.15423
Greenland,GRL,0.13669875
Grenada,GRD,341.16177
Guatemala,GTM,159.60995
Guinea,GIN,53.045536
Guinea-Bissau,GNB,69.97525
Guyana,GUY,4.102957
Haiti,HTI,402.945
Honduras,HND,88.86976
Hungary,HUN,107.060555
Iceland,ISL,3.5773976
India,IND,467.18518
Indonesia,IDN,143.9796
Iran,IRN,53.652786
Iraq,IRQ,94.88486
Ireland,IRL,71.61404
Israel,ISR,400.06775
Italy,ITA,203.33676
Jamaica,JAM,260.69022
Japan,JPN,347.59787
Jordan,JOR,120.18709
Kazakhstan,KAZ,7.115442
Kenya,KEN,89.96526
Kiribati,KIR,152.99753
Kuwait,KWT,249.28181
Kyrgyzstan,KGZ,33.85837
Laos,LAO,31.3589
Latvia,LVA,30.76116
Lebanon,LBN,566.43207
Lesotho,LSO,72.77385
Liberia,LBR,52.364204
Libya,LBY,3.950486
Liechtenstein,LIE,240.3875
Lithuania,LTU,44.64234
Luxembourg,LUX,240.89166
Madagascar,MDG,48.50388
Malawi,MWI,201.80046
Malaysia,MYS,101.78234
Maldives,MDV,1625.79
Mali,MLI,17.266497
Malta,MLT,1575.0531
Marshall Islands,MHL,244.60556
Mauritania,MRT,4.3346405
Mauritius,MUS,644.10065
Mexico,MEX,64.69455
Micronesia (country),FSM,157.56285
Moldova,MDA,94.405914
Monaco,MCO,18297.025
Mongolia,MNG,2.0751874
Montenegro,MNE,45.477547
Morocco,MAR,81.135796
Mozambique,MOZ,38.00246
Myanmar,MMR,80.65442
Namibia,NAM,3.2194002
Nauru,NRU,580.45
Nepal,NPL,198.21461
Netherlands,NLD,520.86444
New Caledonia,NCL,15.515153
New Zealand,NZL,18.948812
Nicaragua,NIC,53.877846
Niger,NER,18.11618
Nigeria,NGA,230.00937
North Korea,PRK,216.24146
North Macedonia,MKD,75.243576
Norway,NOR,14.68069
Oman,OMN,14.8344
Pakistan,PAK,299.39926
Palau,PLW,38.739132
Palestine,PSE,822.86707
Panama,PAN,57.086803
Papua New Guinea,PNG,21.21851
Paraguay,PRY,16.398338
Peru,PER,25.351017
Philippines,PHL,371.6158
Poland,POL,124.88038
Portugal,PRT,112.910324
Puerto Rico,PRI,370.69064
Qatar,QAT,243.50975
Romania,ROU,84.759834
Russia,RUS,8.947562
Rwanda,RWA,517.8802
Saint Kitts and Nevis,KNA,180.66924
Saint Lucia,LCA,291.26886
Saint Vincent and the Grenadines,VCT,267.13333
Samoa,WSM,75.46511
San Marino,SMR,577.9
Sao Tome and Principe,STP,222.29584
Saudi Arabia,SAU,14.175446
Senegal,SEN,84.93703
Serbia,SRB,82.841644
Seychelles,SYC,255.78696
Sierra Leone,SLE,107.12102
Singapore,SGP,7896.3257
Slovakia,SVK,113.36577
Slovenia,SVN,103.466156
Solomon Islands,SLB,26.014862
Somalia,SOM,25.553877
South Africa,ZAF,49.120743
South Korea,KOR,530.4082
South Sudan,SSD,16.49452
Spain,ESP,94.92088
Sri Lanka,LKA,362.27856
Sudan,SDN,24.383392
Suriname,SUR,3.8832052
Sweden,SWE,25.238245
Switzerland,CHE,217.09964
Syria,SYR,110.83993
Taiwan,TWN,668.5721
Tajikistan,TJK,68.66468
Tanzania,TZA,66.803894
Thailand,THA,139.99542
Togo,TGO,155.5997
Tonga,TON,146.7889
Trinidad and Tobago,TTO,289.4538
Tunisia,TUN,76.43592
Turkey,TUR,110.90741
Turkmenistan,TKM,14.478629
Tuvalu,TUV,353.43332
Uganda,UGA,214.44063
Ukraine,UKR,77.59312
United Arab Emirates,ARE,132.04527
United Kingdom,GBR,277.39825
United States,USA,36.92736
Uruguay,URY,19.410381
Uzbekistan,UZB,74.808754
Vanuatu,VUT,23.95357
Venezuela,VEN,32.80777
Vietnam,VNM,310.03442
Western Sahara,ESH,2.0242558
Yemen,YEM,66.50268
Zambia,ZMB,24.904613
Zimbabwe,ZWE,39.476223
