Country,Code,unemployment
Afghanistan,AFG,11.185
Albania,ALB,11.466
Algeria,DZA,12.259
Angola,AGO,16.497
Argentina,ARG,9.843
Armenia,ARM,18.304
Australia,AUS,5.159
Austria,AUT,4.56
Azerbaijan,AZE,5
"Bahamas, The",BHS,9.336
Bahrain,BHR,1.223
Bangladesh,BGD,4.441
Barbados,BRB,8.412
Belarus,BLR,4.165
Belgium,BEL,5.364
Belize,BLZ,9.053
Benin,BEN,1.214
Bhutan,BTN,2.72
Bolivia,BOL,3.682
Bosnia and Herzegovina,BIH,15.692
Botswana,BWA,20.094
Brazil,BRA,11.936
Brunei Darussalam,BRN,6.6
Bulgaria,BGR,4.23
Burkina Faso,BFA,4.71
Burundi,BDI,1.043
Cabo Verde,CPV,12.128
Cambodia,KHM,0.119
Cameroon,CMR,3.622
Canada,CAN,5.69
Central African Republic,CAF,5.607
Chad,TCD,1.084
Channel Islands,CHI,6.408
Chile,CHL,7.493
China,CHN,4.56
Colombia,COL,10.28
Comoros,COM,3.934
"Congo, Dem. Rep.",COD,4.591
"Congo, Rep.",COG,20.392
Costa Rica,CRI,10.807
Cote d'Ivoire,CIV,2.401
Croatia,HRV,6.617
Cuba,CUB,1.705
Cyprus,CYP,7.155
Czechia,CZE,2.015
Denmark,DNK,5.018
Djibouti,DJI,26.256
Dominican Republic,DOM,6.356
Ecuador,ECU,3.812
"Egypt, Arab Rep.",EGY,7.851
El Salvador,SLV,4.17
Equatorial Guinea,GNQ,8.064
Eritrea,ERI,5.552
Estonia,EST,4.514
Eswatini,SWZ,28.138
Ethiopia,ETH,2.917
Fiji,FJI,4.373
Finland,FIN,6.695
France,FRA,8.415
French Polynesia,PYF,11.565
Gabon,GAB,20.358
"Gambia, The",GMB,4.538
Georgia,GEO,11.565
Germany,DEU,3.163
Ghana,GHA,3.16
Greece,GRC,17.045
Guam,GUM,5.401
Guatemala,GTM,2.193
Guinea,GIN,5.018
Guinea-Bissau,GNB,2.413
Guyana,GUY,13.172
Haiti,HTI,14.057
Honduras,HND,5.698
"Hong Kong SAR, China",HKG,2.917
Hungary,HUN,3.419
Iceland,ISL,3.507
India,IND,6.51
Indonesia,IDN,3.59
"Iran, Islamic Rep.",IRN,10.74
Iraq,IRQ,14.109
Ireland,IRL,4.95
Israel,ISR,3.731
Italy,ITA,9.951
Jamaica,JAM,4.987
Japan,JPN,2.351
Jordan,JOR,16.801
Kazakhstan,KAZ,4.8
Kenya,KEN,5.014
"Korea, Dem. People's Rep.",PRK,2.782
"Korea, Rep.",KOR,3.746
Kuwait,KWT,2.251
Kyrgyz Republic,KGZ,4.295
Lao PDR,LAO,2.537
Latvia,LVA,6.312
Lebanon,LBN,11.301
Lesotho,LSO,16.876
Liberia,LBR,3.068
Libya,LBY,19.05
Lithuania,LTU,6.255
Luxembourg,LUX,5.592
"Macao SAR, China",MAC,1.749
Madagascar,MDG,2.469
Malawi,MWI,4.966
Malaysia,MYS,3.26
Maldives,MDV,4.562
Mali,MLI,3.29
Malta,MLT,3.616
Mauritania,MRT,10.416
Mauritius,MUS,6.331
Mexico,MEX,3.477
Moldova,MDA,1.466
Mongolia,MNG,9.269
Montenegro,MNE,15.128
Morocco,MAR,9.194
Mozambique,MOZ,3.646
Myanmar,MMR,0.407
Namibia,NAM,19.921
Nepal,NPL,10.389
Netherlands,NLD,3.379
New Caledonia,NCL,10.88
New Zealand,NZL,4.109
Nicaragua,NIC,5.472
Niger,NER,0.531
Nigeria,NGA,5.206
North Macedonia,MKD,17.414
Norway,NOR,3.684
Oman,OMN,2.04
Pakistan,PAK,4.83
Panama,PAN,6.256
Papua New Guinea,PNG,2.634
Paraguay,PRY,6.595
Peru,PER,3.379
Philippines,PHL,2.237
Poland,POL,3.267
Portugal,PRT,6.464
Puerto Rico,PRI,8.3
Qatar,QAT,0.1
Romania,ROU,3.912
Russian Federation,RUS,4.513
Rwanda,RWA,11.236
Samoa,WSM,7.838
Sao Tome and Principe,STP,8.831
Saudi Arabia,SAU,5.636
Senegal,SEN,2.863
Serbia,SRB,10.395
Sierra Leone,SLE,3.203
Singapore,SGP,3.1
Slovak Republic,SVK,5.761
Slovenia,SVN,4.446
Solomon Islands,SLB,0.743
Somalia,SOM,18.828
South Africa,ZAF,28.468
South Sudan,SSD,12.709
Spain,ESP,14.104
Sri Lanka,LKA,4.67
St. Lucia,LCA,15.613
St. Vincent and the Grenadines,VCT,19.235
Sudan,SDN,11.658
Suriname,SUR,7.556
Sweden,SWE,6.833
Switzerland,CHE,4.394
Syrian Arab Republic,SYR,13.36
Tajikistan,TJK,11.419
Tanzania,TZA,2.496
Thailand,THA,0.716
Timor-Leste,TLS,3.097
Togo,TGO,2.036
Tonga,TON,2.157
Trinidad and Tobago,TTO,3.523
Tunisia,TUN,17.153
Turkiye,TUR,13.73
Turkmenistan,TKM,4.043
Uganda,UGA,3.06
Ukraine,UKR,8.194
United Arab Emirates,ARE,2.331
United Kingdom,GBR,3.613
United States,USA,3.669
Uruguay,URY,8.836
Uzbekistan,UZB,4.932
Vanuatu,VUT,5.444
"Venezuela, RB",VEN,5.876
Viet Nam,VNM,1.681
Virgin Islands (U.S.),VIR,12.551
West Bank and Gaza,PSE,25.34
"Yemen, Rep.",YEM,17.202
Zambia,ZMB,5.542
Zimbabwe,ZWE,7.373
