Country Name,Country Code,2019
Aruba,ABW,109203
Africa Eastern and Southern,AFE,675950189
Afghanistan,AFG,37856121
Africa Western and Central,AFW,463365429
Angola,AGO,32375632
Albania,ALB,2854191
Andorra,AND,76474
Arab World,ARB,444281315
United Arab Emirates,ARE,9445785
Argentina,ARG,44973465
Armenia,ARM,2962500
American Samoa,ASM,50209
Antigua and Barbuda,ATG,91364
Australia,AUS,25334826
Austria,AUT,8879920
Azerbaijan,AZE,10024283
Burundi,BDI,12255336
Belgium,BEL,11488980
Benin,BEN,12726755
Burkina Faso,BFA,20961952
Bangladesh,BGD,164913055
Bulgaria,BGR,6616726
Bahrain,BHR,1483756
"Bahamas, The",BHS,394675
Bosnia and Herzegovina,BIH,3345533
Belarus,BLR,9419758
Belize,BLZ,385829
Bermuda,BMU,64107
Bolivia,BOL,11671386
Brazil,BRA,207455459
Barbados,BRB,281207
Brunei Darussalam,BRN,442680
Bhutan,BTN,764824
Botswana,BWA,2332083
Central African Republic,CAF,4944703
Canada,CAN,37618495
Central Europe and the Baltics,CEB,101864274
Switzerland,CHE,8575280
Channel Islands,CHI,165639
Chile,CHL,19197744
China,CHN,1407745000
Cote d'Ivoire,CIV,28193009
Cameroon,CMR,25506095
"Congo, Dem. Rep.",COD,92947442
"Congo, Rep.",COG,5616661
Colombia,COL,49907985
Comoros,COM,786578
Cabo Verde,CPV,514104
Costa Rica,CRI,4999553
Caribbean small states,CSS,4443134
Cuba,CUB,11202846
Curacao,CUW,157441
Cayman Islands,CYM,67327
Cyprus,CYP,1286671
Czechia,CZE,10671870
Germany,DEU,83092962
Djibouti,DJI,1088709
Dominica,DMA,67880
Denmark,DNK,5814422
Dominican Republic,DOM,10894043
Algeria,DZA,43294546
Ecuador,ECU,17340021
"Egypt, Arab Rep.",EGY,107553158
Euro area,EMU,346496601
Eritrea,ERI,3240194
Spain,ESP,47118501
Estonia,EST,1326898
Ethiopia,ETH,115737383
European Union,EUU,446910453
Fragile and conflict affected situations,FCS,974824119
Finland,FIN,5521606
Fiji,FJI,914899
France,FRA,67382061
Faroe Islands,FRO,51793
"Micronesia, Fed. Sts.",FSM,110282
Gabon,GAB,2267706
United Kingdom,GBR,66631000
Georgia,GEO,3720161
Ghana,GHA,31258945
Gibraltar,GIB,35494
Guinea,GIN,13034346
"Gambia, The",GMB,2456844
Guinea-Bissau,GNB,1967696
Equatorial Guinea,GNQ,1670177
Greece,GRC,10721582
Grenada,GRD,115981
Greenland,GRL,56225
Guatemala,GTM,17103803
Guam,GUM,161808
Guyana,GUY,807665
High income,HIC,1389779202
"Hong Kong SAR, China",HKG,7507900
Honduras,HND,9943633
Heavily indebted poor countries (HIPC),HPC,824649053
Croatia,HRV,3949390
Haiti,HTI,11105163
Hungary,HUN,9694824
IBRD only,IBD,4845361414
IDA & IBRD total,IBT,6594502842
IDA total,IDA,1749141428
IDA blend,IDB,614017319
Indonesia,IDN,272489381
IDA only,IDX,1135124109
Isle of Man,IMN,83957
India,IND,1389030312
Not classified,INX,
Ireland,IRL,4976456
"Iran, Islamic Rep.",IRN,87051648
Iraq,IRQ,41192171
Iceland,ISL,360563
Israel,ISR,9054000
Italy,ITA,59729081
Jamaica,JAM,2823271
Jordan,JOR,10671891
Japan,JPN,126633000
Kazakhstan,KAZ,19209555
Kenya,KEN,51202827
Kyrgyz Republic,KGZ,6590211
Cambodia,KHM,16481304
Kiribati,KIR,123921
St. Kitts and Nevis,KNA,46952
"Korea, Rep.",KOR,51764822
Kuwait,KWT,4442316
Latin America & Caribbean (excluding high income),LAC,573311679
Lao PDR,LAO,7237636
Lebanon,LBN,5794594
Liberia,LBR,5043721
Libya,LBY,6951033
St. Lucia,LCA,177661
Latin America & Caribbean,LCN,640962372
